id_venta,Vehiculo,Nombre,Apellidos,DNI,Licencia,Fecha_Nacimiento,Genero,id_Sucursal,Empleado,Dias,FechaPago,Monto_total
1,Cougar,Ara,Boardman,875-13-4275,78-3177647,07/09/1958,M,2,Ara Boardman,7,19/07/2022,$2288.96
2,X-Type,Erin,Oswald,166-48-8045,06-4974943,26/02/1983,F,6,Erin Oswald,4,28/05/2023,$17851.72
3,VUE,Kimbra,Freer,311-86-8645,00-2302088,22/04/2002,F,5,Kimbra Freer,13,08/05/2022,$16628.20
4,Navigator,Marylee,Chapleo,871-02-6445,77-3822824,15/12/1977,F,2,Marylee Chapleo,1,29/04/2023,$19762.37
5,Sebring,Horace,Huggill,483-40-5983,69-2464822,26/03/1993,M,4,Horace Huggill,5,28/08/2023,$15318.82
6,XK Series,Eli,Cornu,875-21-0404,31-8020189,26/04/1983,M,5,Eli Cornu,14,07/07/2022,$6756.79
7,H2,Alessandra,Slemmonds,406-46-7779,60-8429698,05/10/1965,F,2,Alessandra Slemmonds,13,12/01/2023,$16769.13
8,Bravada,Gearard,Pierpoint,151-68-9556,67-8448188,23/08/1977,M,4,Gearard Pierpoint,5,13/07/2022,$9213.70
9,GTO,Emmalyn,Scholefield,270-64-1280,13-9795864,25/06/1965,F,1,Emmalyn Scholefield,1,30/08/2022,$13245.09
10,Astro,Konstantine,Robak,259-26-1220,90-3327234,04/03/1988,M,3,Konstantine Robak,6,12/09/2022,$19333.67
11,626,Kirsti,Fraschetti,256-95-5173,43-0148075,03/08/1990,F,1,Kirsti Fraschetti,3,30/08/2023,$19188.82
12,E-Class,Clarke,Foskin,661-84-0692,17-9059801,21/12/1972,M,6,Clarke Foskin,4,08/09/2023,$9587.39
13,Civic,Ash,Sprason,709-90-3045,22-1168407,26/03/1986,M,3,Ash Sprason,4,30/12/2022,$11958.41
14,XC70,Kipper,de Marco,723-68-7552,91-0507931,01/07/1982,M,5,Kipper de Marco,9,09/07/2022,$16787.40
15,Sportvan G30,Stephanus,Starsmore,186-89-3690,49-4312834,28/12/1975,M,6,Stephanus Starsmore,13,11/05/2023,$16403.78
16,CX-9,Isidro,Kingsbury,131-53-7059,51-8416017,24/02/1954,M,4,Isidro Kingsbury,5,14/06/2022,$1449.91
17,Endeavor,Bernardine,Ladlow,282-56-1303,65-0298954,20/01/1950,F,3,Bernardine Ladlow,13,06/08/2022,$2252.21
18,Outback,Iorgo,Buckam,465-62-9653,26-4654230,26/08/1977,M,6,Iorgo Buckam,5,04/08/2022,$6080.22
19,MX-6,Candy,Oppery,171-39-7655,82-6516284,30/06/1971,F,5,Candy Oppery,1,09/09/2023,$17001.35
20,Ram Van 2500,Ora,Landell,536-90-7769,19-4139948,11/08/1991,F,4,Ora Landell,3,10/03/2022,$5932.30
21,MX-3,Krishnah,Solleme,525-38-3532,03-1965417,29/01/1982,M,5,Krishnah Solleme,4,07/02/2023,$11291.13
22,Magnum,Reggie,Lagden,166-08-4328,53-1107105,28/03/1989,F,6,Reggie Lagden,1,05/04/2023,$14436.07
23,XLR,Adelaida,McMurty,514-78-7756,18-4068000,03/05/1995,F,3,Adelaida McMurty,2,10/06/2023,$5977.87
24,S10 Blazer,Kira,Grzegorek,156-97-7491,13-1457792,27/09/1992,F,3,Kira Grzegorek,1,12/10/2022,$507.19
25,Yaris,Maryanna,Northin,313-93-1532,25-1480328,21/10/1965,F,2,Maryanna Northin,3,13/09/2023,$9007.57
26,Silhouette,Randee,Hebner,116-60-9205,52-1232183,13/10/1971,F,1,Randee Hebner,15,16/09/2022,$11011.33
27,Villager,Leda,Pioli,686-33-8330,77-9955912,28/06/1993,F,4,Leda Pioli,4,05/04/2022,$2585.65
28,XL7,Aleta,Iohananof,554-19-3197,79-3832131,12/03/1955,F,2,Aleta Iohananof,4,25/05/2023,$14457.39
29,FX,Demetri,Knifton,120-93-7565,55-8611284,25/06/1990,M,3,Demetri Knifton,15,05/08/2022,$18883.34
30,Montero Sport,Lolly,Andrichak,579-84-3733,07-2672115,14/03/1979,F,6,Lolly Andrichak,3,25/01/2023,$10789.13
31,Ram 3500,Rosaleen,Witterick,883-83-0790,37-5198010,12/04/1980,F,5,Rosaleen Witterick,3,25/02/2023,$19564.06
32,Sidekick,Monro,Pentycross,560-89-7292,34-5848191,05/01/1972,M,3,Monro Pentycross,4,27/04/2022,$8482.92
33,Cutlass Cruiser,Lorrayne,Riglar,407-13-4910,82-2388885,20/10/1962,F,1,Lorrayne Riglar,6,19/11/2022,$14190.34
34,SC,Lemmie,Taffarello,538-96-9050,93-5633830,03/03/2002,M,3,Lemmie Taffarello,8,27/06/2022,$12061.54
35,Celica,Woody,Dawley,791-12-2132,82-9421946,20/08/2001,M,5,Woody Dawley,11,15/05/2022,$3650.15
36,Grand Prix,Tiebout,Ollivierre,186-82-3337,08-8077038,23/01/1997,M,4,Tiebout Ollivierre,10,30/12/2022,$9218.56
37,S10,Bryon,Philippe,518-98-3715,94-9072443,28/10/1986,M,5,Bryon Philippe,5,04/08/2023,$14809.47
38,Savana 1500,Troy,Goater,856-37-5462,59-7955786,02/02/1999,M,6,Troy Goater,2,06/12/2022,$16809.19
39,Capri,Jemie,McKaile,712-87-9209,54-9206077,21/06/1974,F,6,Jemie McKaile,2,11/12/2022,$14768.53
40,Sierra 3500,Ave,Beamond,831-44-7317,28-9495940,04/06/1967,M,5,Ave Beamond,12,09/12/2022,$18433.44
41,M3,Wilhelmine,Highnam,412-81-6153,04-3981841,18/02/1976,F,3,Wilhelmine Highnam,6,08/06/2022,$19219.75
42,Accord,Hymie,Wildman,391-04-9671,56-3667300,03/10/1962,M,5,Hymie Wildman,8,08/01/2022,$11326.44
43,Integra,Tobin,Puddan,262-16-7927,25-1246474,14/02/1998,M,5,Tobin Puddan,6,23/09/2023,$830.01
44,B-Series,Sapphira,Powland,289-81-8009,43-3573760,25/03/1982,F,2,Sapphira Powland,11,17/04/2022,$8587.48
45,CLK-Class,Joya,Krook,563-95-2967,39-8407685,03/06/1964,F,6,Joya Krook,6,01/08/2023,$18606.30
46,Tundra,Jere,McDell,766-40-0510,04-1446229,15/12/1957,M,6,Jere McDell,6,26/04/2023,$6684.54
47,E-Class,Josefina,McIlherran,742-97-7820,79-8461219,21/04/1970,F,1,Josefina McIlherran,2,09/07/2022,$14178.02
48,Somerset,Micky,McCabe,725-06-4960,50-9489471,14/02/1991,F,1,Micky McCabe,5,03/02/2022,$14222.28
49,Chariot,Kane,De Lascy,401-59-4997,98-0088569,16/01/1954,M,6,Kane De Lascy,12,28/05/2023,$19015.84
50,GTI,Sallee,Eate,522-91-9917,23-1265900,15/12/1977,F,3,Sallee Eate,5,30/06/2022,$18564.83
51,Capri,Rosanne,Dreher,718-11-1950,43-4389662,30/08/1952,F,5,Rosanne Dreher,12,08/12/2022,$1761.34
52,Continental,Cly,Crosfield,248-22-3747,67-5057322,26/04/2000,M,5,Cly Crosfield,11,24/10/2022,$8564.05
53,Tiburon,Lidia,Skellon,704-48-6532,69-4018954,11/10/1992,F,3,Lidia Skellon,8,15/04/2022,$9969.98
54,Town & Country,Danell,Claris,560-95-7482,07-9945638,26/07/1960,F,5,Danell Claris,4,25/02/2022,$11413.80
55,GL-Class,Vinnie,Leneve,155-60-9533,78-7891561,29/03/1986,M,3,Vinnie Leneve,2,23/06/2023,$15966.77
56,Caravan,Nedi,Pavlov,842-31-5864,74-6153043,04/06/1957,F,5,Nedi Pavlov,4,14/12/2022,$2560.63
57,Fleetwood,Pietrek,Smail,388-35-2076,79-1708211,30/08/2003,M,6,Pietrek Smail,7,18/11/2022,$6675.37
58,TundraMax,Rickert,Daunter,140-96-2305,18-2837737,22/07/1998,M,1,Rickert Daunter,15,04/05/2022,$18358.09
59,Titan,Cullan,Burgne,249-17-1990,73-1630165,23/01/1964,M,3,Cullan Burgne,8,10/02/2022,$16736.03
60,MDX,Steffen,Hanscom,840-88-0987,58-7855973,18/05/1959,M,1,Steffen Hanscom,8,08/03/2023,$10950.04
61,TL,Lionello,Loblie,336-43-7765,43-6163289,16/10/1984,M,4,Lionello Loblie,5,08/02/2023,$3707.06
62,Insight,Isahella,Clutten,106-59-0558,68-4494518,12/10/2000,F,6,Isahella Clutten,2,12/07/2022,$7797.18
63,Tempo,Beltran,Pretsel,363-13-3445,45-9135145,24/12/1956,M,5,Beltran Pretsel,9,26/09/2023,$7083.45
64,L-Series,Elsinore,Licciardo,306-13-9426,19-3658142,03/12/1969,F,5,Elsinore Licciardo,3,21/05/2022,$17869.04
65,Ram 1500,Cathleen,Crat,175-55-8670,93-1859754,30/06/1985,F,1,Cathleen Crat,4,10/07/2023,$5742.55
66,Grand Marquis,Demetra,Lyvon,569-20-8879,10-8920762,12/10/1953,F,2,Demetra Lyvon,5,05/08/2022,$16517.23
67,XT,Freddie,Millthorpe,783-70-6393,61-7054908,26/03/1977,M,2,Freddie Millthorpe,9,22/07/2022,$16318.00
68,Colorado,Hakeem,Dunkerley,531-43-2768,95-8315526,28/08/1982,M,2,Hakeem Dunkerley,6,08/06/2023,$10045.98
69,Achieva,Calvin,Doe,755-59-7281,91-9578158,08/11/1980,M,3,Calvin Doe,1,06/04/2023,$16967.15
70,Aveo,Reggi,Menguy,395-18-4770,59-2487547,30/04/1985,F,3,Reggi Menguy,11,09/11/2022,$9509.59
71,MR2,Cristy,Rickeard,729-49-0112,89-5179073,25/11/1965,F,2,Cristy Rickeard,12,22/02/2023,$14590.38
72,Ram Van 3500,Viviene,Hyndley,647-77-1876,36-1404927,30/03/1974,F,4,Viviene Hyndley,5,06/09/2022,$14423.94
73,MDX,Leola,McCoole,759-07-7746,38-3613279,28/02/1982,F,6,Leola McCoole,9,18/07/2023,$639.84
74,Villager,Felisha,Mathy,374-06-9078,61-5319372,04/09/2003,F,6,Felisha Mathy,8,04/02/2023,$4534.11
75,GTI,Carine,McGinly,509-91-2789,58-1522281,04/03/1966,F,2,Carine McGinly,2,08/03/2022,$5251.11
76,SL-Class,Carolynn,Blasius,573-57-8691,46-2248361,18/05/1995,F,6,Carolynn Blasius,9,21/05/2022,$19075.40
77,Esteem,Pascal,Obern,420-03-5859,09-5570596,07/03/1996,M,4,Pascal Obern,10,22/08/2023,$11795.42
78,Tempo,Dacy,Salzburger,436-76-1308,60-8841440,23/08/2003,F,1,Dacy Salzburger,8,28/01/2022,$16954.98
79,G-Class,Brodie,Swepstone,218-77-7383,17-4053060,02/07/1994,M,4,Brodie Swepstone,1,28/04/2022,$3619.05
80,riolet,Fair,Huller,461-11-3788,94-2267778,11/09/1957,M,4,Fair Huller,10,06/02/2022,$8147.69
81,Contour,Janot,Ness,407-67-5550,03-9599956,09/05/1997,F,4,Janot Ness,12,26/10/2022,$4064.70
82,Concorde,Maurie,Brunt,343-39-4943,41-7449471,30/09/1985,M,6,Maurie Brunt,12,26/04/2023,$5929.87
83,Savana 2500,Gerry,Angless,168-30-3457,05-6001681,02/02/1952,M,6,Gerry Angless,5,24/12/2022,$16077.27
84,Envoy XUV,Correna,Dillway,600-32-8833,20-9255009,24/12/1993,F,6,Correna Dillway,10,09/09/2023,$6446.24
85,Lumina,Son,Patton,470-67-9545,57-4957816,30/09/2004,M,4,Son Patton,14,17/12/2022,$10848.26
86,Town Car,Lyon,Baistow,102-27-8491,61-6719599,22/09/1979,M,6,Lyon Baistow,15,04/02/2023,$15055.05
87,X6,Belia,Sawers,774-93-2196,46-5738503,10/01/1982,F,2,Belia Sawers,15,27/04/2022,$16174.98
88,Ascender,Kellie,Verty,613-77-1579,35-1032061,06/12/1990,F,2,Kellie Verty,14,10/10/2022,$2689.73
89,RL,Andria,Blasio,257-01-0362,71-3183682,26/06/1994,F,3,Andria Blasio,12,18/11/2022,$15700.95
90,Lucerne,Roobbie,Sabberton,179-37-6823,59-0625940,15/04/2004,F,6,Roobbie Sabberton,6,14/01/2022,$10687.78
91,Montana SV6,Bentley,MacVean,417-53-2916,41-1759454,11/02/1953,M,1,Bentley MacVean,2,03/07/2022,$7230.43
92,Tacoma Xtra,Ole,Aldiss,376-31-5461,69-6023693,24/11/2002,M,2,Ole Aldiss,3,26/07/2023,$17654.66
93,Precis,Rickard,Checo,176-39-3802,01-6405547,30/03/2000,M,3,Rickard Checo,7,20/10/2022,$2754.59
94,CL,Garret,Nicholas,282-64-4340,32-1309510,27/05/1983,M,3,Garret Nicholas,6,26/09/2023,$1572.36
95,745,Emlyn,Lismore,310-54-2641,46-0739258,03/05/1953,M,5,Emlyn Lismore,7,04/03/2023,$2265.76
96,Omni,Dunn,Scholtis,542-32-9773,80-1817872,30/03/1960,M,1,Dunn Scholtis,15,24/02/2022,$2390.47
97,88,Lucius,Giacopazzi,687-11-9762,66-3192427,31/01/2001,M,4,Lucius Giacopazzi,10,01/01/2022,$10453.27
